[2024-07-14 07:08:25] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\topic\get-topics-filter.php:188] | No topics found
[2024-07-14 07:11:06] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\topic\get-topics-filter.php:188] | No topics found
[2024-07-14 07:46:48] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\topic\get-topics-filter.php:188] | No topics found
[2024-07-14 07:47:44] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\topic\get-topics-filter.php:188] | No se encontraron temas con los parametros ingresados. Intente nuevamente.
[2024-07-14 07:48:02] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\topic\get-topics-filter.php:188] | No se encontraron temas con los parametros ingresados. Intente nuevamente.
[2024-07-14 18:41:16] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\individual_data\get-turnos.php:68] | No hay turnos registrados con esos datos
[2024-07-14 18:41:58] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\individual_data\get-turnos.php:68] | No hay turnos registrados con esos datos
[2024-07-14 18:43:24] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\individual_data\get-turnos.php:68] | No hay turnos registrados con esos datos
[2024-07-14 18:43:31] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\individual_data\get-turnos.php:68] | No hay turnos registrados con esos datos
[2024-07-14 18:56:06] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\topic\get-topics-filter.php:188] | No se encontraron temas con los parametros ingresados. Intente nuevamente.
[2024-07-14 18:56:15] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\topic\get-topics-filter.php:188] | No se encontraron temas con los parametros ingresados. Intente nuevamente.
[2024-07-14 18:56:20] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\topic\get-topics-filter.php:188] | No se encontraron temas con los parametros ingresados. Intente nuevamente.
